feature,importance
attendance,0.2473757526608546
attendance_normalized,0.24712367062056523
attendance_filled,0.2462004949846596
seriesGameNumber,0.032517999134711865
is_regular_season,0.020230825976586132
rating_difference,0.019642305001203553
rating_sum,0.018812228821302675
rating_product,0.018581459842226245
away_fieldGoalsPercentage,0.014117372723510204
away_reboundsTotal,0.012062773227100396
away_assists,0.01205536292389941
away_turnovers,0.011687932428771133
away_teamScore,0.011657118053157414
away_threePointersPercentage,0.011650943475041618
home_fieldGoalsPercentage,0.011593385378389198
away_team_rating,0.010414588568687924
home_reboundsTotal,0.009854216950003287
home_teamScore,0.009829855982224628
home_assists,0.009743412420568772
home_threePointersPercentage,0.008600948521471754
home_turnovers,0.008275932215028934
home_team_rating,0.00797142009003551
is_playoff,0.0
home_advantage,0.0
